id,time,datetime,LST_Day_1km
269,1632700800000,2021-09-27,23.410000000000025
274,1633132800000,2021-10-02,21.130000000000052
277,1633392000000,2021-10-05,21.090000000000032
280,1633651200000,2021-10-08,18.970000000000027
291,1634601600000,2021-10-19,24.710000000000036
292,1634688000000,2021-10-20,23.150000000000034
293,1634774400000,2021-10-21,22.650000000000034
294,1634860800000,2021-10-22,24.690000000000055
296,1635033600000,2021-10-24,23.430000000000007
297,1635120000000,2021-10-25,24.83000000000004
298,1635206400000,2021-10-26,28.07000000000005
299,1635292800000,2021-10-27,30.650000000000034
300,1635379200000,2021-10-28,26.470000000000027
301,1635465600000,2021-10-29,23.970000000000027
302,1635552000000,2021-10-30,24.27000000000004
303,1635638400000,2021-10-31,28.510000000000048
304,1635724800000,2021-11-01,26.130000000000052
305,1635811200000,2021-11-02,29.53000000000003
311,1636329600000,2021-11-08,21.350000000000023
312,1636416000000,2021-11-09,26.630000000000052
316,1636761600000,2021-11-13,27.49000000000001
317,1636848000000,2021-11-14,30.05000000000001
323,1637366400000,2021-11-20,26.950000000000045
324,1637452800000,2021-11-21,28.910000000000025
327,1637712000000,2021-11-24,26.670000000000016
328,1637798400000,2021-11-25,23.410000000000025
333,1638230400000,2021-11-30,27.150000000000034
335,1638403200000,2021-12-02,22.130000000000052
336,1638489600000,2021-12-03,20.650000000000034
337,1638576000000,2021-12-04,26.970000000000027
339,1638748800000,2021-12-06,21.390000000000043
345,1639267200000,2021-12-12,28.130000000000052
352,1639872000000,2021-12-19,28.79000000000002
353,1639958400000,2021-12-20,32.13000000000005
356,1640217600000,2021-12-23,23.53000000000003
358,1640390400000,2021-12-25,30.950000000000045
360,1640563200000,2021-12-27,30.470000000000027
363,1640822400000,2021-12-30,29.350000000000023
