,time,datetime,LST_Night_1km
264,1632268800000,2021-09-22,12.07000000000005
268,1632614400000,2021-09-26,16.610000000000014
270,1632787200000,2021-09-28,20.170000000000016
272,1632960000000,2021-09-30,15.970000000000027
280,1633651200000,2021-10-08,13.57000000000005
285,1634083200000,2021-10-13,17.850000000000023
289,1634428800000,2021-10-17,7.250000000000057
290,1634515200000,2021-10-18,14.130000000000052
291,1634601600000,2021-10-19,14.970000000000027
292,1634688000000,2021-10-20,13.910000000000025
294,1634860800000,2021-10-22,17.05000000000001
295,1634947200000,2021-10-23,18.190000000000055
297,1635120000000,2021-10-25,15.230000000000018
298,1635206400000,2021-10-26,17.710000000000036
299,1635292800000,2021-10-27,18.230000000000018
300,1635379200000,2021-10-28,20.730000000000018
301,1635465600000,2021-10-29,17.230000000000018
304,1635724800000,2021-11-01,21.33000000000004
305,1635811200000,2021-11-02,21.470000000000027
308,1636070400000,2021-11-05,20.250000000000057
310,1636243200000,2021-11-07,10.410000000000025
311,1636329600000,2021-11-08,16.83000000000004
312,1636416000000,2021-11-09,16.77000000000004
313,1636502400000,2021-11-10,17.150000000000034
315,1636675200000,2021-11-12,16.170000000000016
316,1636761600000,2021-11-13,16.630000000000052
317,1636848000000,2021-11-14,16.970000000000027
323,1637366400000,2021-11-20,15.390000000000043
324,1637452800000,2021-11-21,16.670000000000016
325,1637539200000,2021-11-22,21.150000000000034
326,1637625600000,2021-11-23,20.710000000000036
327,1637712000000,2021-11-24,17.730000000000018
328,1637798400000,2021-11-25,18.83000000000004
332,1638144000000,2021-11-29,21.810000000000002
336,1638489600000,2021-12-03,17.810000000000002
337,1638576000000,2021-12-04,19.150000000000034
339,1638748800000,2021-12-06,21.150000000000034
340,1638835200000,2021-12-07,17.510000000000048
341,1638921600000,2021-12-08,17.57000000000005
342,1639008000000,2021-12-09,17.670000000000016
343,1639094400000,2021-12-10,18.05000000000001
346,1639353600000,2021-12-13,22.370000000000005
350,1639699200000,2021-12-17,20.710000000000036
352,1639872000000,2021-12-19,20.130000000000052
353,1639958400000,2021-12-20,22.33000000000004
356,1640217600000,2021-12-23,19.57000000000005
358,1640390400000,2021-12-25,20.650000000000034
360,1640563200000,2021-12-27,22.03000000000003
362,1640736000000,2021-12-29,21.350000000000023
363,1640822400000,2021-12-30,14.470000000000027
364,1640908800000,2021-12-31,22.950000000000045
